token,label,token_length
De,B,2
Facto,I,5
âs,O,4
performance,O,11
.,O,1
Probabilistic,B,13
grammars,I,8
are,O,3
generative,B,10
statistical,I,11
models,I,6
that,O,4
are,O,3
useful,O,6
for,O,3
compositional,B,13
and,O,3
sequential,B,10
structures,I,10
.,O,1
They,O,4
are,O,3
used,O,4
ubiquitously,O,12
in,O,2
computational,B,13
linguistics,I,11
.,O,1
We,O,2
present,O,7
a,O,1
framework,O,9
",",O,1
reminiscent,O,11
of,O,2
structural,B,10
risk,I,4
minimization,I,12
",",O,1
for,O,3
empirical,B,9
risk,I,4
minimization,I,12
of,O,2
probabilistic,B,13
grammars,I,8
using,O,5
the,O,3
log,B,3
-,I,1
loss,I,4
.,O,1
We,O,2
derive,O,6
sample,B,6
complexity,I,10
bounds,I,6
in,O,2
this,O,4
framework,O,9
that,O,4
apply,O,5
both,O,4
to,O,2
the,O,3
supervised,B,10
setting,I,7
and,O,3
the,O,3
unsupervised,B,12
setting,I,7
.,O,1
By,O,2
making,O,6
assumptions,O,11
about,O,5
the,O,3
underlying,B,10
distribution,I,12
that,O,4
are,O,3
appropriate,O,11
for,O,3
natural,B,7
language,I,8
scenarios,I,9
",",O,1
we,O,2
are,O,3
able,O,4
to,O,2
derive,O,6
distribution,B,12
-,I,1
dependent,I,9
sample,I,6
complexity,I,10
bounds,I,6
for,O,3
probabilistic,B,13
grammars,I,8
.,O,1
We,O,2
also,O,4
give,O,4
simple,O,6
algorithms,O,10
for,O,3
carrying,O,8
out,O,3
empirical,B,9
risk,I,4
minimization,I,12
using,O,5
this,O,4
framework,O,9
in,O,2
both,O,4
the,O,3
supervised,B,10
and,O,3
unsupervised,B,12
settings,I,8
.,O,1
In,O,2
the,O,3
unsupervised,B,12
case,O,4
",",O,1
we,O,2
show,O,4
that,O,4
the,O,3
problem,O,7
of,O,2
minimizing,O,10
empirical,B,9
risk,I,4
is,O,2
NP,B,2
-,I,1
hard,I,4
.,O,1
We,O,2
therefore,O,9
suggest,O,7
an,O,2
approximate,B,11
algorithm,I,9
",",O,1
similar,O,7
to,O,2
expectation,O,11
-,O,1
maximization,O,12
",",O,1
to,O,2
minimize,O,8
the,O,3
empirical,B,9
risk,I,4
.,O,1
Information,B,11
graphics,I,8
(,O,1
such,O,4
as,O,2
bar,B,3
charts,I,6
and,O,3
line,B,4
graphs,I,6
),O,1
play,O,4
a,O,1
vital,O,5
role,O,4
in,O,2
many,O,4
multimodal,B,10
documents,I,9
.,O,1
The,O,3
majority,O,8
of,O,2
information,B,11
graphics,I,8
that,O,4
appear,O,6
in,O,2
popular,O,7
media,O,5
are,O,3
intended,O,8
to,O,2
convey,O,6
a,O,1
message,O,7
and,O,3
the,O,3
graphic,B,7
designer,I,8
uses,O,4
deliberate,B,10
communicative,I,13
signals,I,7
",",O,1
such,O,4
as,O,2
highlighting,O,12
certain,O,7
aspects,O,7
of,O,2
the,O,3
graphic,O,7
",",O,1
in,O,2
order,O,5
to,O,2
bring,O,5
that,O,4
message,O,7
out,O,3
.,O,1
The,O,3
graphic,O,7
",",O,1
whose,O,5
communicative,O,13
goal,O,4
(,O,1
intended,O,8
message,O,7
),O,1
is,O,2
often,O,5
not,O,3
captured,O,8
by,O,2
the,O,3
document,O,8
âs,O,4
accompanying,O,12
text,O,4
",",O,1
contributes,O,11
to,O,2
the,O,3
overall,O,7
purpose,O,7
of,O,2
the,O,3
document,O,8
and,O,3
can,O,3
not,O,3
be,O,2
ignored,O,7
.,O,1
This,O,4
article,O,7
presents,O,8
our,O,3
approach,O,8
to,O,2
providing,O,9
the,O,3
high,B,4
-,I,1
level,I,5
content,I,7
of,O,2
a,O,1
non,O,3
-,O,1
scientiï¬c,O,11
information,O,11
graphic,O,7
via,O,3
a,O,1
brief,O,5
textual,O,7
summary,O,7
which,O,5
includes,O,8
the,O,3
intended,O,8
message,O,7
and,O,3
the,O,3
salient,B,7
features,I,8
of,O,2
the,O,3
graphic,O,7
.,O,1
This,O,4
work,O,4
brings,O,6
together,O,8
insights,O,8
obtained,O,8
from,O,4
empirical,O,9
studies,O,7
in,O,2
order,O,5
to,O,2
determine,O,9
what,O,4
should,O,6
be,O,2
contained,O,9
in,O,2
the,O,3
summaries,B,9
of,O,2
this,O,4
form,O,4
of,O,2
non,B,3
-,I,1
linguistic,I,10
input,I,5
data,I,4
",",O,1
and,O,3
how,O,3
the,O,3
information,O,11
required,O,8
for,O,3
realizing,O,9
the,O,3
selected,O,8
content,O,7
can,O,3
be,O,2
extracted,O,9
from,O,4
the,O,3
visual,B,6
image,I,5
and,O,3
the,O,3
textual,B,7
components,I,10
of,O,2
the,O,3
graphic,O,7
.,O,1
This,O,4
work,O,4
also,O,4
presents,O,8
a,O,1
novel,O,5
bottom,B,6
â,I,3
up,I,2
generation,I,10
approach,I,8
to,O,2
simultaneously,O,14
construct,O,9
the,O,3
discourse,B,9
and,O,3
sentence,B,8
structures,I,10
of,O,2
textual,O,7
summaries,O,9
by,O,2
leveraging,O,10
different,O,9
discourse,B,9
related,O,7
considerations,O,14
such,O,4
as,O,2
the,O,3
syntactic,B,9
complexity,I,10
of,O,2
realized,B,8
sentences,I,9
and,O,3
clause,B,6
embeddings,I,10
.,O,1
The,O,3
effectiveness,O,13
of,O,2
our,O,3
work,O,4
was,O,3
validated,O,9
by,O,2
different,O,9
evaluation,O,10
studies,O,7
.,O,1
We,O,2
present,O,7
a,O,1
constituency,B,12
parsing,I,7
system,O,6
for,O,3
Modern,O,6
Hebrew,O,6
.,O,1
The,O,3
system,O,6
is,O,2
based,O,5
on,O,2
the,O,3
PCFG,B,4
-,I,1
LA,I,2
parsing,B,7
method,O,6
of,O,2
Petrov,O,6
et,O,2
al,O,2
.,O,1
2006,O,4
",",O,1
which,O,5
is,O,2
extended,O,8
in,O,2
various,O,7
ways,O,4
in,O,2
order,O,5
to,O,2
accommodate,O,11
the,O,3
specificities,O,13
of,O,2
Hebrew,O,6
as,O,2
a,O,1
morphologically,B,15
rich,I,4
language,I,8
with,O,4
a,O,1
small,O,5
treebank,B,8
.,O,1
We,O,2
show,O,4
that,O,4
parsing,B,7
performance,O,11
can,O,3
be,O,2
enhanced,O,8
by,O,2
utilizing,O,9
a,O,1
language,O,8
resource,O,8
external,O,8
to,O,2
the,O,3
treebank,B,8
",",O,1
specifically,O,12
",",O,1
a,O,1
lexicon,B,7
-,I,1
based,I,5
morphological,B,13
analyzer,I,8
.,O,1
We,O,2
present,O,7
a,O,1
computational,B,13
model,I,5
of,O,2
interfacing,O,11
the,O,3
external,O,8
lexicon,B,7
and,O,3
a,O,1
treebank,B,8
-,I,1
based,I,5
parser,I,6
",",O,1
also,O,4
in,O,2
the,O,3
common,O,6
case,O,4
where,O,5
the,O,3
lexicon,B,7
and,O,3
the,O,3
treebank,B,8
follow,O,6
different,O,9
annotation,B,10
schemes,I,7
.,O,1
We,O,2
show,O,4
that,O,4
Hebrew,O,6
word,B,4
-,I,1
segmentation,I,12
and,O,3
constituency,B,12
-,I,1
parsing,I,7
can,O,3
be,O,2
performed,O,9
jointly,O,7
using,O,5
CKY,B,3
lattice,I,7
parsing,I,7
.,O,1
Performing,O,10
the,O,3
tasks,O,5
jointly,O,7
is,O,2
effective,O,9
",",O,1
and,O,3
substantially,O,13
outperforms,O,11
a,O,1
pipeline,B,8
-,I,1
based,I,5
model,I,5
.,O,1
We,O,2
suggest,O,7
modeling,O,8
grammatical,B,11
agreement,I,9
in,O,2
a,O,1
constituency,B,12
-,I,1
based,I,5
parser,I,6
as,O,2
a,O,1
filter,O,6
mechanism,O,9
that,O,4
is,O,2
orthogonal,O,10
to,O,2
the,O,3
grammar,O,7
",",O,1
and,O,3
present,O,7
a,O,1
concrete,O,8
implementation,O,14
of,O,2
the,O,3
method,O,6
.,O,1
Although,O,8
the,O,3
constituency,B,12
parser,I,6
does,O,4
not,O,3
make,O,4
many,O,4
agreement,O,9
mistakes,O,8
to,O,2
begin,O,5
with,O,4
",",O,1
the,O,3
filter,O,6
mechanism,O,9
is,O,2
effective,O,9
in,O,2
fixing,O,6
the,O,3
agreement,O,9
mistakes,O,8
that,O,4
the,O,3
parser,B,6
does,O,4
make,O,4
.,O,1
These,O,5
contributions,O,13
extend,O,6
outside,O,7
of,O,2
the,O,3
scope,O,5
of,O,2
Hebrew,O,6
processing,B,10
",",O,1
and,O,3
are,O,3
of,O,2
general,O,7
applicability,O,13
to,O,2
the,O,3
NLP,B,3
community,O,9
.,O,1
Hebrew,O,6
is,O,2
a,O,1
specific,O,8
case,O,4
of,O,2
a,O,1
morphologically,B,15
rich,I,4
language,I,8
",",O,1
and,O,3
ideas,O,5
presented,O,9
in,O,2
this,O,4
work,O,4
are,O,3
useful,O,6
also,O,4
for,O,3
processing,B,10
other,O,5
languages,O,9
",",O,1
including,O,9
English,O,7
.,O,1
The,O,3
lattice,B,7
-,I,1
based,I,5
parsing,I,7
methodology,O,11
is,O,2
useful,O,6
in,O,2
any,O,3
case,O,4
where,O,5
the,O,3
input,O,5
is,O,2
uncertain,O,9
.,O,1
Extending,O,9
the,O,3
lexical,B,7
coverage,I,8
of,O,2
a,O,1
treebank,B,8
-,I,1
derived,I,7
parser,I,6
using,O,5
an,O,2
external,O,8
lexicon,B,7
is,O,2
relevant,O,8
for,O,3
any,O,3
language,O,8
with,O,4
a,O,1
small,O,5
treebank,B,8
.,O,1
Multiword,B,9
expressions,I,11
lie,O,3
at,O,2
the,O,3
syntax,B,6
/,O,1
semantics,B,9
interface,O,9
and,O,3
have,O,4
motivated,O,9
alternative,O,11
theories,O,8
of,O,2
syntax,B,6
like,O,4
Construction,B,12
Grammar,I,7
.,O,1
Until,O,5
now,O,3
",",O,1
however,O,7
",",O,1
syntactic,B,9
analysis,I,8
and,O,3
multiword,B,9
expression,I,10
identification,I,14
have,O,4
been,O,4
modeled,O,7
separately,O,10
in,O,2
natural,B,7
language,I,8
processing,I,10
.,O,1
We,O,2
develop,O,7
two,O,3
structured,B,10
prediction,I,10
models,I,6
for,O,3
joint,B,5
parsing,I,7
and,O,3
multiword,B,9
expression,I,10
identification,I,14
.,O,1
The,O,3
first,O,5
is,O,2
based,O,5
on,O,2
context,B,7
-,I,1
free,I,4
grammars,I,8
and,O,3
the,O,3
second,O,6
uses,O,4
tree,B,4
substitution,I,12
grammars,I,8
",",O,1
a,O,1
formalism,B,9
that,O,4
can,O,3
store,O,5
larger,O,6
syntactic,B,9
fragments,I,9
.,O,1
Our,O,3
experiments,O,11
show,O,4
that,O,4
both,O,4
models,B,6
can,O,3
identify,O,8
multiword,B,9
expressions,I,11
with,O,4
much,O,4
higher,O,6
accuracy,B,8
than,O,4
a,O,1
state,B,5
-,I,1
of,I,2
-,I,1
the,I,3
-,I,1
art,I,3
system,O,6
based,O,5
on,O,2
word,B,4
co,I,2
-,I,1
occurrence,I,10
statistics,O,10
.,O,1
We,O,2
experiment,O,10
with,O,4
Arabic,O,6
and,O,3
French,O,6
",",O,1
which,O,5
both,O,4
have,O,4
pervasive,B,9
multiword,I,9
expressions,I,11
.,O,1
Relative,O,8
to,O,2
English,O,7
",",O,1
they,O,4
also,O,4
have,O,4
richer,O,6
morphology,B,10
",",O,1
which,O,5
induces,O,7
lexical,B,7
sparsity,I,8
in,O,2
finite,O,6
corpora,B,7
.,O,1
To,O,2
combat,O,6
this,O,4
sparsity,B,8
",",O,1
we,O,2
develop,O,7
a,O,1
simple,O,6
factored,B,8
lexical,I,7
representation,I,14
for,O,3
the,O,3
context,B,7
-,I,1
free,I,4
parsing,I,7
model,I,5
.,O,1
Morphological,B,13
analyses,O,8
are,O,3
automatically,O,13
transformed,O,11
into,O,4
rich,O,4
feature,B,7
tags,I,4
that,O,4
are,O,3
scored,O,6
jointly,O,7
with,O,4
lexical,B,7
items,I,5
.,O,1
This,O,4
technique,O,9
",",O,1
which,O,5
we,O,2
call,O,4
a,O,1
factored,B,8
lexicon,I,7
",",O,1
improves,O,8
both,O,4
standard,O,8
parsing,B,7
and,O,3
multiword,B,9
expression,I,10
identification,I,14
accuracy,B,8
.,O,1
Most,O,4
morphologically,B,15
rich,I,4
languages,I,9
with,O,4
free,B,4
word,I,4
order,I,5
use,O,3
case,B,4
systems,I,7
to,O,2
the,O,3
grammatical,B,11
function,I,8
of,O,2
nominal,B,7
elements,I,8
",",O,1
especially,O,10
for,O,3
the,O,3
core,B,4
argument,I,8
functions,I,9
of,O,2
a,O,1
verb,O,4
.,O,1
The,O,3
standard,O,8
pipeline,B,8
approach,I,8
in,O,2
syntactic,B,9
dependency,I,10
parsing,I,7
assumes,O,7
a,O,1
complete,O,8
disambiguation,B,14
of,O,2
morphological,B,13
(,O,1
case,B,4
),O,1
information,O,11
prior,O,5
to,O,2
automatic,B,9
syntactic,I,9
analysis,I,8
.,O,1
Parsing,B,7
experiments,I,11
on,O,2
Czech,O,5
",",O,1
German,O,6
",",O,1
and,O,3
Hungarian,O,9
show,O,4
that,O,4
this,O,4
approach,O,8
is,O,2
susceptible,O,11
to,O,2
propagating,O,11
morphological,B,13
annotation,I,10
errors,O,6
when,O,4
parsing,B,7
languages,O,9
displaying,O,10
syncretism,O,10
in,O,2
their,O,5
morphological,B,13
case,I,4
paradigms,O,9
.,O,1
We,O,2
develop,O,7
a,O,1
different,O,9
architecture,O,12
where,O,5
we,O,2
use,O,3
case,B,4
as,O,2
a,O,1
possibly,O,8
underspecified,O,14
filtering,O,9
device,O,6
restricting,O,11
the,O,3
options,O,7
for,O,3
syntactic,B,9
analysis,I,8
.,O,1
Carefully,O,9
designed,O,8
morpho,B,6
-,I,1
syntactic,I,9
constraints,I,11
can,O,3
delimit,O,7
the,O,3
search,O,6
space,O,5
of,O,2
a,O,1
statistical,B,11
dependency,I,10
parser,I,6
and,O,3
exclude,O,7
solutions,O,9
that,O,4
would,O,5
violate,O,7
the,O,3
restrictions,O,12
overtly,O,7
marked,O,6
in,O,2
the,O,3
morphology,B,10
of,O,2
the,O,3
words,O,5
in,O,2
a,O,1
given,O,5
sentence,O,8
.,O,1
The,O,3
constrained,O,11
system,O,6
outperforms,O,11
a,O,1
state,B,5
-,I,1
of,I,2
-,I,1
the,I,3
-,I,1
art,I,3
data,B,4
-,I,1
driven,I,6
pipeline,B,8
architecture,I,12
",",O,1
as,O,2
we,O,2
show,O,4
experimentally,O,14
",",O,1
and,O,3
",",O,1
in,O,2
addition,O,8
",",O,1
the,O,3
parser,B,6
output,I,6
comes,O,5
with,O,4
guarantees,O,10
about,O,5
local,O,5
and,O,3
global,B,6
morpho,I,6
-,I,1
syntactic,I,9
wellformedness,I,14
",",O,1
which,O,5
can,O,3
be,O,2
useful,O,6
for,O,3
downstream,O,10
applications,O,12
.,O,1
In,O,2
this,O,4
article,O,7
",",O,1
an,O,2
integrated,O,10
model,O,5
is,O,2
derived,O,7
that,O,4
jointly,O,7
identifies,O,10
and,O,3
aligns,O,6
bilingual,B,9
named,B,5
entities,I,8
(,O,1
NEs,B,3
),O,1
between,O,7
Chinese,O,7
and,O,3
English,O,7
.,O,1
The,O,3
model,B,5
is,O,2
motivated,O,9
by,O,2
the,O,3
following,O,9
observations,O,12
:,O,1
(,O,1
1,O,1
),O,1
whether,O,7
an,O,2
NE,B,2
is,O,2
translated,O,10
semantically,B,12
or,O,2
phonetically,B,12
depends,O,7
greatly,O,7
on,O,2
its,O,3
entity,B,6
type,I,4
",",O,1
(,O,1
2,O,1
),O,1
entities,B,8
within,O,6
an,O,2
aligned,B,7
pair,I,4
should,O,6
share,O,5
the,O,3
same,O,4
type,O,4
",",O,1
and,O,3
(,O,1
3,O,1
),O,1
the,O,3
initially,O,9
detected,O,8
NEs,B,3
can,O,3
act,O,3
as,O,2
anchors,O,7
and,O,3
provide,O,7
further,O,7
information,O,11
while,O,5
selecting,O,9
NE,B,2
candidates,O,10
.,O,1
Based,O,5
on,O,2
these,O,5
observations,O,12
",",O,1
this,O,4
article,O,7
proposes,O,8
a,O,1
translation,O,11
mode,O,4
ratio,O,5
feature,O,7
(,O,1
defined,O,7
as,O,2
the,O,3
proportion,O,10
of,O,2
NE,B,2
internal,O,8
tokens,B,6
that,O,4
are,O,3
semantically,B,12
translated,I,10
),O,1
",",O,1
enforces,O,8
an,O,2
entity,B,6
type,I,4
consistency,B,11
constraint,I,10
",",O,1
and,O,3
utilizes,O,8
additional,O,10
new,O,3
NE,B,2
likelihoods,B,11
(,O,1
based,O,5
on,O,2
the,O,3
initially,O,9
detected,O,8
NE,B,2
anchors,O,7
),O,1
.,O,1
Experiments,O,11
show,O,4
that,O,4
this,O,4
novel,O,5
method,O,6
significantly,O,13
outperforms,O,11
the,O,3
baseline,B,8
.,O,1
The,O,3
type,B,4
-,I,1
insensitive,I,11
F,B,1
-,I,1
score,I,5
of,O,2
identified,O,10
NE,B,2
pairs,O,5
increases,O,9
from,O,4
78.4,O,4
%,O,1
to,O,2
88.0,O,4
%,O,1
(,O,1
12.2,O,4
%,O,1
relative,O,8
improvement,O,11
),O,1
in,O,2
our,O,3
Chinese,O,7
â,O,3
English,O,7
NE,B,2
alignment,I,9
task,I,4
",",O,1
and,O,3
the,O,3
type,B,4
-,I,1
sensitive,I,9
F,B,1
-,I,1
score,I,5
increases,O,9
from,O,4
68.4,O,4
%,O,1
to,O,2
83.0,O,4
%,O,1
(,O,1
21.3,O,4
%,O,1
relative,O,8
improvement,O,11
),O,1
.,O,1
Furthermore,O,11
",",O,1
the,O,3
proposed,O,8
model,O,5
demonstrates,O,12
its,O,3
robustness,O,10
when,O,4
it,O,2
is,O,2
tested,O,6
across,O,6
different,O,9
domains,O,7
.,O,1
Finally,O,7
",",O,1
when,O,4
semi,B,4
-,I,1
supervised,I,10
learning,I,8
is,O,2
conducted,O,9
to,O,2
train,O,5
the,O,3
adopted,O,7
English,O,7
NE,B,2
recognition,I,11
model,I,5
",",O,1
the,O,3
proposed,O,8
model,O,5
also,O,4
significantly,O,13
boosts,O,6
the,O,3
English,O,7
NE,B,2
recognition,I,11
type,B,4
-,I,1
sensitive,I,9
F,B,1
-,I,1
score,I,5
.,O,1
The,O,3
most,O,4
widely,O,6
adopted,O,7
approaches,O,10
for,O,3
evaluation,B,10
of,O,2
summary,B,7
content,I,7
follow,O,6
some,O,4
protocol,O,8
for,O,3
comparing,O,9
a,O,1
summary,O,7
with,O,4
gold,B,4
-,I,1
standard,I,8
human,B,5
summaries,I,9
",",O,1
which,O,5
are,O,3
traditionally,O,13
called,O,6
model,B,5
summaries,I,9
.,O,1
This,O,4
evaluation,B,10
paradigm,I,8
falls,O,5
short,O,5
when,O,4
human,B,5
summaries,I,9
are,O,3
not,O,3
available,O,9
and,O,3
becomes,O,7
less,O,4
accurate,O,8
when,O,4
only,O,4
a,O,1
single,O,6
model,B,5
is,O,2
available,O,9
.,O,1
We,O,2
propose,O,7
three,O,5
novel,O,5
evaluation,B,10
techniques,I,10
.,O,1
Two,O,3
of,O,2
them,O,4
are,O,3
model,B,5
-,I,1
free,I,4
and,O,3
do,O,2
not,O,3
rely,O,4
on,O,2
a,O,1
gold,B,4
standard,I,8
for,O,3
the,O,3
assessment,O,10
.,O,1
The,O,3
third,O,5
technique,O,9
improves,O,8
standard,O,8
automatic,B,9
evaluations,I,11
by,O,2
expanding,O,9
the,O,3
set,O,3
of,O,2
available,O,9
model,B,5
summaries,O,9
with,O,4
chosen,O,6
system,O,6
summaries,O,9
.,O,1
We,O,2
show,O,4
that,O,4
quantifying,O,11
the,O,3
similarity,O,10
between,O,7
the,O,3
source,O,6
text,O,4
and,O,3
its,O,3
summary,O,7
with,O,4
appropriately,O,13
chosen,O,6
measures,O,8
produces,O,8
summary,O,7
scores,O,6
which,O,5
replicate,O,9
human,O,5
assessments,O,11
accurately,O,10
.,O,1
We,O,2
also,O,4
explore,O,7
ways,O,4
of,O,2
increasing,O,10
evaluation,B,10
quality,I,7
when,O,4
only,O,4
one,O,3
human,B,5
model,I,5
summary,I,7
is,O,2
available,O,9
as,O,2
a,O,1
gold,B,4
standard,I,8
.,O,1
We,O,2
introduce,O,9
pseudomodels,B,12
",",O,1
which,O,5
are,O,3
system,B,6
summaries,I,9
deemed,O,6
to,O,2
contain,O,7
good,O,4
content,O,7
according,O,9
to,O,2
automatic,B,9
evaluation,I,10
.,O,1
Combining,O,9
the,O,3
pseudomodels,B,12
with,O,4
the,O,3
single,B,6
human,I,5
model,I,5
to,O,2
form,O,4
the,O,3
gold,B,4
-,I,1
standard,I,8
leads,O,5
to,O,2
higher,O,6
correlations,B,12
with,O,4
human,O,5
judgments,O,9
compared,O,8
to,O,2
using,O,5
only,O,4
the,O,3
one,O,3
available,O,9
model,B,5
.,O,1
Finally,O,7
",",O,1
we,O,2
explore,O,7
the,O,3
feasibility,O,11
of,O,2
another,O,7
measure,B,7
â,I,3
similarity,I,10
between,O,7
a,O,1
system,O,6
summary,O,7
and,O,3
the,O,3
pool,O,4
of,O,2
all,O,3
other,O,5
system,O,6
summaries,O,9
for,O,3
the,O,3
same,O,4
input,O,5
.,O,1
This,O,4
method,O,6
of,O,2
comparison,O,10
with,O,4
the,O,3
consensus,O,9
of,O,2
systems,O,7
produces,O,8
impressively,O,12
accurate,O,8
rankings,O,8
of,O,2
system,O,6
summaries,O,9
",",O,1
achieving,O,9
correlation,B,11
with,O,4
human,O,5
rankings,O,8
above,O,5
0.9,O,3
.,O,1
Word,B,4
sense,I,5
disambiguation,I,14
(,O,1
WSD,B,3
),O,1
is,O,2
an,O,2
old,O,3
and,O,3
important,O,9
task,O,4
in,O,2
computational,B,13
linguistics,I,11
that,O,4
still,O,5
remains,O,7
challenging,O,11
",",O,1
to,O,2
machines,O,8
as,O,2
well,O,4
as,O,2
to,O,2
human,O,5
annotators,B,10
.,O,1
Recently,O,8
there,O,5
have,O,4
been,O,4
several,O,7
proposals,O,9
for,O,3
representing,O,12
word,O,4
meaning,O,7
in,O,2
context,B,7
that,O,4
diverge,O,7
from,O,4
the,O,3
traditional,O,11
use,O,3
of,O,2
a,O,1
single,O,6
best,O,4
sense,O,5
for,O,3
each,O,4
occurrence,O,10
.,O,1
They,O,4
represent,O,9
word,O,4
meaning,O,7
in,O,2
context,B,7
through,O,7
multiple,O,8
paraphrases,O,11
",",O,1
as,O,2
points,O,6
in,O,2
vector,B,6
space,I,5
",",O,1
or,O,2
as,O,2
distributions,B,13
over,O,4
latent,O,6
senses,O,6
.,O,1
New,O,3
methods,O,7
of,O,2
evaluating,O,10
and,O,3
comparing,O,9
these,O,5
different,O,9
representations,O,15
are,O,3
needed,O,6
.,O,1
In,O,2
this,O,4
paper,O,5
we,O,2
propose,O,7
two,O,3
novel,O,5
annotation,B,10
schemes,I,7
that,O,4
characterize,O,12
word,O,4
meaning,O,7
in,O,2
context,B,7
in,O,2
a,O,1
graded,O,6
fashion,O,7
.,O,1
In,O,2
WSsim,B,5
annotation,I,10
",",O,1
the,O,3
applicability,O,13
of,O,2
each,O,4
dictionary,O,10
sense,O,5
is,O,2
rated,O,5
on,O,2
an,O,2
ordinal,B,7
scale,I,5
.,O,1
Usim,B,4
annotation,I,10
directly,O,8
rates,O,5
the,O,3
similarity,O,10
of,O,2
pairs,O,5
of,O,2
usages,O,6
of,O,2
the,O,3
same,O,4
lemma,B,5
",",O,1
again,O,5
on,O,2
a,O,1
scale,O,5
.,O,1
We,O,2
find,O,4
that,O,4
the,O,3
novel,O,5
annotation,O,10
schemes,O,7
show,O,4
good,O,4
interannotator,B,14
agreement,I,9
",",O,1
as,O,2
well,O,4
as,O,2
a,O,1
strong,B,6
correlation,I,11
with,O,4
traditional,O,11
single,O,6
-,O,1
sense,O,5
annotation,B,10
and,O,3
with,O,4
annotation,B,10
of,O,2
multiple,O,8
lexical,B,7
paraphrases,I,11
.,O,1
Annotators,B,10
make,O,4
use,O,3
of,O,2
the,O,3
whole,O,5
ordinal,B,7
scale,I,5
",",O,1
and,O,3
give,O,4
fine,B,4
-,I,1
grained,I,7
judgments,I,9
that,O,4
â,O,3
mix,O,3
and,O,3
match,O,5
â,O,3
senses,O,6
for,O,3
each,O,4
individual,O,10
usage,O,5
.,O,1
We,O,2
also,O,4
find,O,4
that,O,4
the,O,3
Usim,B,4
ratings,I,7
obey,O,4
the,O,3
triangle,O,8
inequality,O,10
",",O,1
justifying,O,10
models,O,6
that,O,4
treat,O,5
usage,O,5
similarity,O,10
as,O,2
metric,B,6
.,O,1
There,O,5
has,O,3
recently,O,8
been,O,4
much,O,4
work,O,4
on,O,2
grouping,O,8
senses,O,6
into,O,4
coarse,B,6
-,I,1
grained,I,7
groups,I,6
.,O,1
We,O,2
demonstrate,O,11
that,O,4
graded,B,6
WSsim,I,5
and,O,3
Usim,B,4
ratings,I,7
can,O,3
be,O,2
used,O,4
to,O,2
analyze,O,7
existing,O,8
coarse,B,6
-,I,1
grained,I,7
sense,I,5
groupings,O,9
to,O,2
identify,O,8
sense,O,5
groups,O,6
that,O,4
may,O,3
not,O,3
match,O,5
intuitions,O,10
of,O,2
untrained,O,9
native,O,6
speakers,O,8
.,O,1
In,O,2
the,O,3
course,O,6
of,O,2
the,O,3
comparison,O,10
",",O,1
we,O,2
also,O,4
show,O,4
that,O,4
the,O,3
WSsim,B,5
ratings,I,7
are,O,3
not,O,3
subsumed,O,8
by,O,2
any,O,3
static,B,6
sense,I,5
grouping,I,8
.,O,1
Knowing,O,7
the,O,3
degree,O,6
of,O,2
semantic,B,8
contrast,O,8
between,O,7
words,O,5
has,O,3
widespread,O,10
application,O,11
in,O,2
natural,B,7
language,I,8
processing,I,10
",",O,1
including,O,9
machine,B,7
translation,I,11
",",O,1
information,B,11
retrieval,I,9
",",O,1
and,O,3
dialogue,B,8
systems,I,7
.,O,1
Manually,O,8
created,O,7
lexicons,B,8
focus,O,5
on,O,2
opposites,O,9
",",O,1
such,O,4
as,O,2
hot,O,3
and,O,3
cold,O,4
.,O,1
Opposites,O,9
are,O,3
of,O,2
many,O,4
kinds,O,5
such,O,4
as,O,2
antipodals,B,10
",",O,1
complementaries,B,15
",",O,1
and,O,3
gradable,B,8
.,O,1
Existing,O,8
lexicons,B,8
often,O,5
do,O,2
not,O,3
classify,O,8
opposites,O,9
into,O,4
the,O,3
different,O,9
kinds,O,5
",",O,1
however,O,7
.,O,1
They,O,4
also,O,4
do,O,2
not,O,3
explicitly,O,10
list,O,4
word,B,4
pairs,I,5
that,O,4
are,O,3
not,O,3
opposites,O,9
but,O,3
yet,O,3
have,O,4
some,O,4
degree,O,6
of,O,2
contrast,O,8
in,O,2
meaning,O,7
",",O,1
such,O,4
as,O,2
warm,O,4
and,O,3
cold,O,4
or,O,2
tropical,O,8
and,O,3
freezing,O,8
.,O,1
We,O,2
propose,O,7
an,O,2
automatic,O,9
method,O,6
to,O,2
identify,O,8
contrasting,O,11
word,B,4
pairs,I,5
that,O,4
is,O,2
based,O,5
on,O,2
the,O,3
hypothesis,O,10
that,O,4
if,O,2
a,O,1
pair,B,4
of,I,2
words,I,5
",",O,1
A,O,1
and,O,3
B,O,1
",",O,1
are,O,3
contrasting,O,11
",",O,1
then,O,4
there,O,5
is,O,2
a,O,1
pair,O,4
of,O,2
opposites,O,9
",",O,1
C,O,1
and,O,3
D,O,1
",",O,1
such,O,4
that,O,4
A,O,1
and,O,3
C,O,1
are,O,3
strongly,O,8
related,O,7
and,O,3
B,O,1
and,O,3
D,O,1
are,O,3
strongly,O,8
related,O,7
.,O,1
(,O,1
For,O,3
example,O,7
",",O,1
there,O,5
exists,O,6
the,O,3
pair,O,4
of,O,2
opposites,O,9
hot,O,3
and,O,3
cold,O,4
such,O,4
that,O,4
tropical,O,8
is,O,2
related,O,7
to,O,2
hot,O,3
",",O,1
and,O,3
freezing,O,8
is,O,2
related,O,7
to,O,2
cold,O,4
.,O,1
